feature,hold,net,beta,correlation,hedged,cost_of_hedging
market_context_volatility_20d_1d,20,0.455352847860116,0.29959477250313876,0.6720725360874198,-0.2370423656258252,0.6923952134859412
market_context_volatility_20d_1d,40,0.5405480263573434,0.3428965507282027,0.7107189478437954,-0.2483419608734397,0.7888899872307832
market_context_volatility_20d_1d,60,0.5597093271969891,0.37971527356377616,0.733104561040771,-0.27796701037764265,0.8376763375746317
market_context_volatility_20d_1d,120,0.5545857068435518,0.45477563587518094,0.7861637687339574,-0.3662567677079007,0.9208424745514525
ROLLING_VOL_20_1d,1,-3.1644158994617304,0.27403190566532293,0.6777346284194348,-3.7523497714910907,0.5879338720293603
ROLLING_VOL_20_1d,5,-0.14504464485168467,0.2912617444923919,0.67916107646936,-0.8077123002124612,0.6626676553607765
ROLLING_VOL_20_1d,20,0.455352847860116,0.29959477250313876,0.6720725360874198,-0.2370423656258252,0.6923952134859412
ROLLING_VOL_20_1d,40,0.5405480263573434,0.3428965507282027,0.7107189478437954,-0.2483419608734397,0.7888899872307832
ROLLING_VOL_20_1d,60,0.5597093271969891,0.37971527356377616,0.733104561040771,-0.27796701037764265,0.8376763375746317
ROLLING_VOL_20_1d,120,0.5545857068435518,0.45477563587518094,0.7861637687339574,-0.3662567677079007,0.9208424745514525
VOLATILITY_20_1d,1,-3.1644158994617304,0.27403190566532293,0.6777346284194348,-3.7523497714910907,0.5879338720293603
VOLATILITY_20_1d,5,-0.14504464485168467,0.2912617444923919,0.67916107646936,-0.8077123002124612,0.6626676553607765
VOLATILITY_20_1d,20,0.455352847860116,0.29959477250313876,0.6720725360874198,-0.2370423656258252,0.6923952134859412
VOLATILITY_20_1d,40,0.5405480263573434,0.3428965507282027,0.7107189478437954,-0.2483419608734397,0.7888899872307832
VOLATILITY_20_1d,60,0.5597093271969891,0.37971527356377616,0.733104561040771,-0.27796701037764265,0.8376763375746317
VOLATILITY_20_1d,120,0.5545857068435518,0.45477563587518094,0.7861637687339574,-0.3662567677079007,0.9208424745514525
volatility_20_1d,1,-3.1864138803521467,0.2732613738041116,0.6785092980196149,-3.7853161012213765,0.5989022208692298
volatility_20_1d,5,-0.1452522390248589,0.29123303536671036,0.6799294768619911,-0.8092723398076502,0.6640201007827913
volatility_20_1d,20,0.4568933929988834,0.2986817355279988,0.6714569853980246,-0.2341486291698701,0.6910420221687534
volatility_20_1d,40,0.5414030601403506,0.34263708358607997,0.709880943491059,-0.24588266049533739,0.7872857206356879
volatility_20_1d,60,0.56033871158488,0.3796594124936587,0.7332425316781978,-0.27745363316838706,0.8377923447532671
volatility_20_1d,120,0.5556522203164552,0.45504650167227023,0.7869165738185084,-0.3667371543857573,0.9223893747022125
ATR_14_1d,1,-7.030432547162285,0.08926340043337866,0.35970972095323817,-7.304239131143036,0.2738065839807513
ATR_14_1d,5,-2.1417945819277513,0.07711117896177401,0.2979114315328676,-2.4489961660184347,0.30720158409068343
